Anthologie;;;;;;;;;;;;;;;Gattung;;;;;;Inhalt;;;;;;;;;;Struktur;;Beigaben;;;;;Adressat;;;;;;Auswahlkriterien;;;;;;;;Poetik: Eigenschaften und Funktionen von Geschichtslyrik;;;;;;;;;;;;;Deutung;;;;;Weiteres;;
ID;in Häntzschel 1991;Auflagen (Einzelne Jahre);Auflagen (Anzahl);Anzahl;GND;Geburtsdatum;Sterbedatum;Qualifikation;Pädagogik;Forschung;Germanistik;Geschichte;Schriftsteller;Sonstiges;Lyrik allgemein;Prosa;Dramen;Sprüche;Balladen-Fokus;Volkslied-Fokus;Welt;Deutschland;Österreich;Schweiz;Preußen;Religion;Antike;Hohenzollern;Sagenstoffe;Mythenstoffe;Chronologisch;Gliederung in Kapitel;Vor-/Nachwort;"Anmerkungen

0 = gar nicht
1 = wenig (nur zu vereinzelten Gedichten; nur knappe Fußnoten)
2 = mittel
3 = markant (zu Großteil der Gedichte; jeweils mehrere Sätze/Fußnoten(";Abbildungen;Bibliografie;"Dichter-Verzeichnis

0.5 = nur Namen
1 = ja, inkl. aufgenommene Gedichte
2 = ja, inkl. Biografische Angaben
3 = ja, inkl. Publikationen";Thematisiert;‚Für Schule und Haus‘;Schule;Jugend;Alle;Sonstige;Thematisiert;Möglichst weite Abdeckung des Gegenstands;Ästhetische Qualität;Sittlich-moralische Angemessenheit/Rücksicht auf Jugend;"Politisch-ideologische Ausrichtung

-1 = gegen politisch-parteiliche Texte";Historische Richtigkeit;Historischer Quellenwert;Abdeckung der Literaturgeschichte;Thematisiert;Anschaulichkeit/Lebendigkeit;Einprägsamkeit/Nachhaltigkeit/Wirksamkeit der Vermittlung;Emotionalisierende/begeisternde Wirkung;"Vermittlung moralisch-tugendhaft-sittlicher Werte und Verhaltensweisen
(etwa anhand von Beispielen positiven/negativen Agierens)";Vermittlung von Patriotismus;Vermittlung historischer Kenntnisse;Besonders wahre/tiefe Geschichtsvermittlung;Steigerung des Interesses an Geschichte;Vermittlung literarischer/literaturgeschichtlicher Kenntnisse;Unterhaltung;Keine notwendige objektive 1:1-Mimesis der Geschichte (sondern Verklärung etc.);Thematisierung ‚poetische vs. nicht-poetische Geschichtsdarstellung‘;Thematisiert;Patriotisch;Religiös;Human;Sonstiges/Erläuterungen;"Erwähnung Geschichtslyrik-Anthologien
-1 = explizit: gibt keine Vorgänger
+1 = explizit: gibt Vorgänger";Nutzen Geschichtslyrik ist anerkannt/Verbreitung ist groß;Rezensionen
1822.Petri;FALSCH;;;1;http://d-nb.info/116134011;1776;1850;Professor;1;1;;;;Theologe;1;;;;;;;;;;;1;;;;;1;1;1;2;;;;1;;;1;1;;1;;;;;;;;1;1;;;;;;;1;;1;;1;1;;1;;;;;
1823.Petri;FALSCH;;;1;http://d-nb.info/116134011;1776;1850;Professor;1;1;;;;Theologe;1;;;;;;;;;;;;1;;;;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;Griechische Unabhängigkeit;;;1
1827/28.Petri;FALSCH;;;1;http://d-nb.info/116134011;1776;1850;Professor;1;1;;;;Theologe;1;;;;;;;1;;;;;;;;;1;1;1;2;;;2;1;;;;1;Frauen;1;;;;;;;;1;;;;;;;;;;1;;;1;1;;;;;;
1831.Wagner;FALSCH;1837 [Poetische Geschichte der Deutschen] + 1841 + 1858 + 1872 [Germania in Bildern deutscher Dichter];5;1;http://d-nb.info/117117447;1802;1879;;1;;;;;;1;;1;;;;;1;;;;;;;;;1;;1;2;;;1 + 2;1;;1;1;;;1;-1;1;;;;;;1;1;1;1;1;1;;;;1;;;1;1;1;;;;;;4
1833.Kröger;FALSCH;;;1;http://d-nb.info/104044934;1792;1874;;1;;;;;;1;;1;;;;;1;;;;;;;;;1;;1;3;;;0;;;;;;;1;1;1;;;;;;1;1;1;;1;1;;;;;;;;1;1;;;;1;;2
1840.Schottmüller;WAHR;1866;2;1;http://d-nb.info/101452586;1798;1871;Professor;;1;;1;;;1;;1;;;;1;;;;;;;;;;1;1;1;3;;;1;1;;1;;;;1;;;;;;;1;1;;1;1;1;;1;;1;;;;1;1;;1;;;1;;1
1842.Anonym(OestAd);FALSCH;;;1;Anonym;;;;;;;;;;1;;;;;;;;1;;;;;;;;1;;;1;;;0;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;1;1;;;;;;
1842/44.Lehmann;FALSCH;1855;2;1;http://d-nb.info/104270616;1802;1883;;1;;1;;;;1;;;;;;;;;;1;;;;;;1;1;1;2;;;1;1;1;1;1;;;1;;1;;1;;;;1;1;1;1;;1;;;1;;;;;;;;;;1;;3
1844.Niemeyer;FALSCH;1871;2;1;http://d-nb.info/117002526;1802;1851;Professor;1;;;;;Theologe;1;;;;;;;1;;;;;;;;;1;1;1;0;;;0;1;;1;1;;;;;;;;;;;1;1;;1;;1;1;;;;;;;1;1;;;;;;
1845.Anonym;FALSCH;;;1;?;;;;;;;;;;1;;;;;;;1;;;;;;;;;1;;;3;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
