Text;Jahr;Häufigkeit;Ground Truth?;Ground-Truth Quelle/ID
Gerok, Karl – Der erste Sieg;1871;1;1;1880.Anonym.122
Baur, Gustav – Die Weiber von Schorndorf;1843;10;1;1865.Anonym.2(1888).046
Kreusler, Wolrad – König Wilhelm saß ganz heiter;1870;12;1;1865.Anonym.2(1888).065
Sturm, Julius – Wie schön leuchtet der Morgenstern!;1849;12;1;1870.Brünnert.4(1902).199
Geibel, Emanuel – Deutsche Siege;1870;13;1;1870.Brünnert.4(1902).229
Strachwitz, Moritz Graf von – Pharao;1846;4;1;1872.Bindewald.2(1875).1.016
Geibel, Emanuel – Grab des Themistokles;1849;5;1;1872.Bindewald.2(1875).1.078
Albrecht, Engelbert – Alexander der Große und Apelles;1870;2;1;1872.Bindewald.2(1875).1.096
Beck, Friedrich – Hannibals Traum;1840;2;1;1872.Bindewald.2(1875).1.127
Kinkel, Gottfried – Scipio;1849;6;1;1872.Bindewald.2(1875).1.131
Kinkel, Gottfried – Cäsar. Frühjahr 48 v. Chr.;1849;4;1;1872.Bindewald.2(1875).1.140
Lingg, Hermann – Die Schlacht auf den katalaunischen Feldern;1854;12;1;1872.Bindewald.2(1875).2.008
Grube, August Wilhelm – Heinrich der Städteerbauer;1850;13;1;1872.Bindewald.2(1875).2.077
Sallet, Friedrich von – Zieten;1841;31;1;1872.Bindewald.2(1875).3.192
Blomberg, Hugo von – Ein Königswort;1854;22;1;1872.Bindewald.2(1875).3.198
Hesekiel, George – Ein Wort vom alten Blücher;1846;16;1;1872.Bindewald.2(1875).3.285
Weber, Otto – Die Hermannsschlacht;1842;8;1;1873.Kroder.003
Müller von Königswinter, Wolfgang – Der Mönch vor Heinrichs IV. Leiche;1840;19;1;1873.Kroder.022
Gerok, Karl – Wie Kaiser Karl Schulvisitation hielt;1867;25;1;1876.Bintz.077
Sallet, Friedrich von – Feldmarschall Derfflinger;1841;26;1;1876.Bintz.223
Fontane, Theodor – Seydlitz;1849;26;1;1876.Bintz.237
Oër, Maximilian von – Das weiße Sachsenroß;1840;25;1;1876.Bodamer.017
Oelkers, Hermann Theodor – Seyfried Schweppermann;1850;17;1;1876.Bodamer.074
Chemnitz, Matthäus Friedrich – Schleswig-Holstein;1844;17;1;1876.Bodamer.208
Fontane, Theodor – Schloß Eger;1849;34;1;1877.Anonym.046
Fontane, Theodor – Der alte Zieten;1849;41;1;1877.Anonym.059
Geibel, Emanuel – Schill;1841;9;1;1877.Anonym.066
Freiligrath, Ferdinand – Die Trompete von Vionville;1870;35;1;1877.Anonym.090
Geibel, Emanuel – Der Ulan;1870;7;1;1877.Anonym.096
Dingelstedt, Franz von – Der Scharfenstein;1848;6;1;1877.Edert.001
Braun, Isabella – Die Schlacht auf dem Lechfeld;1849;7;1;1877.Edert.023
Geibel, Emanuel – Am 3. September 1870;1849;25;1;1877.Edert.178
Freiligrath, Ferdinand – Hurra, Germania!;1870;22;1;1877.Edert.187
Mühler, Heinrich von – Kaiser Otto der Erste;1839;42;1;1877.Wagner.009
Fallersleben, Heinrich Hoffmann von – Das Lied der Deutschen;1841;24;1;1878.Gündel.001
Gerok, Karl – Die Rosse von Gravelotte;1870;26;1;1878.Gündel.085
Geibel, Emanuel – Sanssouci;1843;25;1;1878.Krämer.126
Sturm, Julius – Vor Blüchers Statue;1850;17;1;1878.Krämer.170
Wolff, Julius – Die Fahne der Einundsechziger;1871;20;1;1878.Krämer.197
Grün, Anastasius – König Rudolf von Böhmen;1840;10;1;1878.Pennerstorfer.2(1879).097
Günther, Karl Friedrich – Wallenstein vor Stralsund;1841;16;1;1878.Pennerstorfer.2(1879).100
Sturm, Julius – Mein Vaterland;1850;8;1;1879.Haselmayer/Haselmayer.001
Vincke, Gisbert von – Johann von Leyden;1847;8;1;1879.Haselmayer/Haselmayer.021
Grün, Anastasius – Die Leiche zu St. Just;1840;20;1;1879.Haselmayer/Haselmayer.027
Hesekiel, George – Der 19. Juli 1870;1853;17;1;1879.Haselmayer/Haselmayer.124
Frankl, Ludwig August – Margaretha Maultasch tritt Tyrol an Oestreich ab;1844;4;1;1879.Teuffenbach.092
Bernhard, Gustav – Maria Theresia vor dem Reichstag der Ungarn;1849;9;1;1879.Teuffenbach.238
Kinkel, Gottfried – Der Triumphbogen des Marius (102 v. Chr.);1849;7;1;1881.Polack.029
Dahn, Felix – Gotenzug;1868;18;1;1881.Polack.053
Gerok, Karl – Wie Kaiser Karl schreiben lernte;1867;7;1;1881.Polack.067
Minding, Julius – Zorndorf;1842;21;1;1881.Polack.155
Mühler, Heinrich von – König Karl am Meer;1847;15;1;1881/83.Meyer.1.050
Lepel, Bernhard von – Kaiser Heinrich II.;1852;15;1;1881/83.Meyer.1.066
Hesekiel, George – Die faule Grete und die schöne Esse;1846;7;1;1881/83.Meyer.2.013
Bäßler, Ferdinand – Elisabeth von Brandenburg;1840;11;1;1881/83.Meyer.2.017
Gruppe, Otto Friedrich – Friedrich I. von Preußen;1840;14;1;1881/83.Meyer.2.027
Freiligrath, Ferdinand – So wird es geschehen!;1870;8;1;1881/83.Meyer.2.160
