,id,mode_score_flexibel,missing_from_mode_flexibel,flexibel_Geschichtslyrik,flexibel_empirisch,flexibel_nicht theoretisch,flexibel_Ballade (exakt),flexibel_Sprechinstanz nicht markiert,flexibel_Sprechinstanz Zeit unklar,flexibel_Erzählen (exakt),flexibel_Präsens und Präiteritum,flexibel_Konkretheit,flexibel_keine Positionierung zum Wissen,flexibel_vergangenheitsomdinant,flexibel_2 Zeitebenen (exakt),flexibel_zeitlich fixierbar,flexibel_Beginn ab 1500,flexibel_Ende bis 2000,flexibel_keine Anachronismen,flexibel_kein Gegenwartsbezug,flexibel_Europa (exakt),flexibel_deutscher Mittelraum (exakt),flexibel_Kein Kleinraum,flexibel_Handlung (exakt),flexibel_Krieg (u. a.),flexibel_positive Bewertung von Krieg (u. a.),flexibel_bekanntes Individuum (u. a.),flexibel_positive Bewertung von bekanntem Individuum (u. a.),flexibel_kein Nationalismus,flexibel_kein Heroismus,flexibel_keine Religiosität,flexibel_Personen-Marker (irgendwo),flexibel_keine Zeit-/Geschichts-Marker,flexibel_keine Ort-Marker,flexibel_Objekt-/Institutionen-Marker (irgendwo),flexibel_kein Bezug auf Überlieferung,flexibel_keine Bewertung von Überlieferung,flexibel_kein Bezug auf Geschichtsauffassungen,flexibel_keine Bewertung von Geschichtsauffassungen,flexibel_Ergänzung des Geschichtswissens,flexibel_Reim,flexibel_regelmäßiges Metrum,flexibel_keine verfremdende Sprache
0,1850.Grube.028,31.0,flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Präsens und Präiteritum + flexibel_Konkretheit + flexibel_2 Zeitebenen (exakt) + flexibel_zeitlich fixierbar + flexibel_Beginn ab 1500 + flexibel_Kein Kleinraum + flexibel_positive Bewertung von Krieg (u. a.),1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1850.Kriebitzsch.001,16.0,flexibel_empirisch + flexibel_nicht theoretisch + flexibel_Ballade (exakt) + flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Erzählen (exakt) + flexibel_Präsens und Präiteritum + flexibel_Konkretheit + flexibel_vergangenheitsomdinant + flexibel_zeitlich fixierbar + flexibel_Beginn ab 1500 + flexibel_Ende bis 2000 + flexibel_kein Gegenwartsbezug + flexibel_Europa (exakt) + flexibel_deutscher Mittelraum (exakt) + flexibel_Handlung (exakt) + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_bekanntes Individuum (u. a.) + flexibel_positive Bewertung von bekanntem Individuum (u. a.) + flexibel_keine Religiosität + flexibel_Personen-Marker (irgendwo) + flexibel_Objekt-/Institutionen-Marker (irgendwo) + flexibel_Ergänzung des Geschichtswissens,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2,1850.Kriebitzsch.011,28.0,flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Präsens und Präiteritum + flexibel_2 Zeitebenen (exakt) + flexibel_Beginn ab 1500 + flexibel_deutscher Mittelraum (exakt) + flexibel_Kein Kleinraum + flexibel_positive Bewertung von bekanntem Individuum (u. a.) + flexibel_kein Heroismus + flexibel_keine Ort-Marker + flexibel_kein Bezug auf Überlieferung + flexibel_keine Bewertung von Überlieferung,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1850.Kriebitzsch.019,30.0,flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_2 Zeitebenen (exakt) + flexibel_Beginn ab 1500 + flexibel_Europa (exakt) + flexibel_deutscher Mittelraum (exakt) + flexibel_Kein Kleinraum + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_keine Zeit-/Geschichts-Marker + flexibel_keine Ort-Marker,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1851.Müller/Kletke.018,23.0,flexibel_Ballade (exakt) + flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Erzählen (exakt) + flexibel_Konkretheit + flexibel_keine Positionierung zum Wissen + flexibel_zeitlich fixierbar + flexibel_Beginn ab 1500 + flexibel_kein Gegenwartsbezug + flexibel_Handlung (exakt) + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_keine Zeit-/Geschichts-Marker + flexibel_Objekt-/Institutionen-Marker (irgendwo) + flexibel_kein Bezug auf Überlieferung + flexibel_keine Bewertung von Überlieferung + flexibel_Ergänzung des Geschichtswissens,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
5,1852.Böttger.4(1862).002,28.0,flexibel_Ballade (exakt) + flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Erzählen (exakt) + flexibel_Präsens und Präiteritum + flexibel_zeitlich fixierbar + flexibel_Beginn ab 1500 + flexibel_Handlung (exakt) + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_bekanntes Individuum (u. a.) + flexibel_positive Bewertung von bekanntem Individuum (u. a.),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1852.Böttger.4(1862).034,35.0,flexibel_Präsens und Präiteritum + flexibel_Beginn ab 1500 + flexibel_Kein Kleinraum + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1852.Böttger.4(1862).054,30.0,flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Präsens und Präiteritum + flexibel_2 Zeitebenen (exakt) + flexibel_Beginn ab 1500 + flexibel_Kein Kleinraum + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_kein Bezug auf Überlieferung + flexibel_keine Bewertung von Überlieferung,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1852.Böttger.4(1862).057,31.0,flexibel_Erzählen (exakt) + flexibel_2 Zeitebenen (exakt) + flexibel_zeitlich fixierbar + flexibel_Beginn ab 1500 + flexibel_Kein Kleinraum + flexibel_Handlung (exakt) + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_keine Ort-Marker,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1852.Böttger.4(1862).065,33.0,flexibel_2 Zeitebenen (exakt) + flexibel_Beginn ab 1500 + flexibel_Kein Kleinraum + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_kein Heroismus + flexibel_keine Zeit-/Geschichts-Marker,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
