,id,mode_score_strikt1850,missing_from_mode_strikt1850,strikt1850_Geschichtslyrik,strikt1850_empirisch,strikt1850_nicht theoretisch,strikt1850_Ballade (exakt),strikt1850_Sprechinstanz nicht markiert,strikt1850_Sprechinstanz Zeit unklar,strikt1850_Erzählen (exakt),strikt1850_Präsens und Präiteritum,strikt1850_Konkretheit,strikt1850_keine Positionierung zum Wissen,strikt1850_vergangenheitsomdinant,strikt1850_2 Zeitebenen (exakt),strikt1850_zeitlich fixierbar,strikt1850_keine Anachronismen,strikt1850_kein Gegenwartsbezug,strikt1850_Europa (exakt),strikt1850_Heiliges Römisches Reich (exakt),strikt1850_Kein Kleinraum,strikt1850_Handlung (exakt),strikt1850_Krieg (exakt),strikt1850_positive Bewertung von Krieg (exakt),strikt1850_kein Nationalismus,strikt1850_kein Heroismus,strikt1850_keine Religiosität,strikt1850_Personen-Marker (Titel + Text),strikt1850_keine Zeit-/Geschichts-Marker,strikt1850_keine Ort-Marker,strikt1850_Objekt-/Institutionen-Marker (Text),strikt1850_kein Bezug auf Überlieferung,strikt1850_keine Bewertung von Überlieferung,strikt1850_kein Bezug auf Geschichtsauffassungen,strikt1850_keine Bewertung von Geschichtsauffassungen,strikt1850_Ergänzung des Geschichtswissens,strikt1850_Reim,strikt1850_regelmäßiges Metrum,strikt1850_keine verfremdende Sprache,strikt1850_Beginn 1850,strikt1850_Ende 1850,strikt1850_zwei bekannte Individuen (exakt),strikt1850_positive Bewertung von zwei bekannten Individuen (exakt)
0,1850.Grube.028,26.0,strikt1850_Sprechinstanz nicht markiert + strikt1850_Sprechinstanz Zeit unklar + strikt1850_Präsens und Präiteritum + strikt1850_Konkretheit + strikt1850_2 Zeitebenen (exakt) + strikt1850_zeitlich fixierbar + strikt1850_Heiliges Römisches Reich (exakt) + strikt1850_Kein Kleinraum + strikt1850_Krieg (exakt) + strikt1850_positive Bewertung von Krieg (exakt) + strikt1850_Beginn 1850 + strikt1850_Ende 1850 + strikt1850_zwei bekannte Individuen (exakt) + strikt1850_positive Bewertung von zwei bekannten Individuen (exakt),1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,1850.Kriebitzsch.001,16.0,strikt1850_empirisch + strikt1850_nicht theoretisch + strikt1850_Ballade (exakt) + strikt1850_Sprechinstanz nicht markiert + strikt1850_Sprechinstanz Zeit unklar + strikt1850_Erzählen (exakt) + strikt1850_Präsens und Präiteritum + strikt1850_Konkretheit + strikt1850_vergangenheitsomdinant + strikt1850_zeitlich fixierbar + strikt1850_kein Gegenwartsbezug + strikt1850_Europa (exakt) + strikt1850_Heiliges Römisches Reich (exakt) + strikt1850_Handlung (exakt) + strikt1850_Krieg (exakt) + strikt1850_positive Bewertung von Krieg (exakt) + strikt1850_keine Religiosität + strikt1850_Personen-Marker (Titel + Text) + strikt1850_Objekt-/Institutionen-Marker (Text) + strikt1850_Ergänzung des Geschichtswissens + strikt1850_Beginn 1850 + strikt1850_Ende 1850 + strikt1850_zwei bekannte Individuen (exakt) + strikt1850_positive Bewertung von zwei bekannten Individuen (exakt),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,1850.Kriebitzsch.011,25.0,strikt1850_Sprechinstanz nicht markiert + strikt1850_Sprechinstanz Zeit unklar + strikt1850_Präsens und Präiteritum + strikt1850_2 Zeitebenen (exakt) + strikt1850_Heiliges Römisches Reich (exakt) + strikt1850_Kein Kleinraum + strikt1850_kein Heroismus + strikt1850_Personen-Marker (Titel + Text) + strikt1850_keine Ort-Marker + strikt1850_kein Bezug auf Überlieferung + strikt1850_keine Bewertung von Überlieferung + strikt1850_Beginn 1850 + strikt1850_Ende 1850 + strikt1850_zwei bekannte Individuen (exakt) + strikt1850_positive Bewertung von zwei bekannten Individuen (exakt),1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,1850.Kriebitzsch.019,26.0,strikt1850_Sprechinstanz nicht markiert + strikt1850_Sprechinstanz Zeit unklar + strikt1850_2 Zeitebenen (exakt) + strikt1850_Europa (exakt) + strikt1850_Heiliges Römisches Reich (exakt) + strikt1850_Kein Kleinraum + strikt1850_positive Bewertung von Krieg (exakt) + strikt1850_Personen-Marker (Titel + Text) + strikt1850_keine Zeit-/Geschichts-Marker + strikt1850_keine Ort-Marker + strikt1850_Beginn 1850 + strikt1850_Ende 1850 + strikt1850_zwei bekannte Individuen (exakt) + strikt1850_positive Bewertung von zwei bekannten Individuen (exakt),1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1851.Müller/Kletke.018,20.0,strikt1850_Ballade (exakt) + strikt1850_Sprechinstanz nicht markiert + strikt1850_Sprechinstanz Zeit unklar + strikt1850_Erzählen (exakt) + strikt1850_Konkretheit + strikt1850_keine Positionierung zum Wissen + strikt1850_zeitlich fixierbar + strikt1850_kein Gegenwartsbezug + strikt1850_Handlung (exakt) + strikt1850_Krieg (exakt) + strikt1850_positive Bewertung von Krieg (exakt) + strikt1850_keine Zeit-/Geschichts-Marker + strikt1850_Objekt-/Institutionen-Marker (Text) + strikt1850_kein Bezug auf Überlieferung + strikt1850_keine Bewertung von Überlieferung + strikt1850_Ergänzung des Geschichtswissens + strikt1850_Beginn 1850 + strikt1850_Ende 1850 + strikt1850_zwei bekannte Individuen (exakt) + strikt1850_positive Bewertung von zwei bekannten Individuen (exakt),1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1852.Böttger.4(1862).002,25.0,strikt1850_Ballade (exakt) + strikt1850_Sprechinstanz nicht markiert + strikt1850_Sprechinstanz Zeit unklar + strikt1850_Erzählen (exakt) + strikt1850_Präsens und Präiteritum + strikt1850_zeitlich fixierbar + strikt1850_Heiliges Römisches Reich (exakt) + strikt1850_Handlung (exakt) + strikt1850_Krieg (exakt) + strikt1850_positive Bewertung von Krieg (exakt) + strikt1850_Personen-Marker (Titel + Text) + strikt1850_Beginn 1850 + strikt1850_Ende 1850 + strikt1850_zwei bekannte Individuen (exakt) + strikt1850_positive Bewertung von zwei bekannten Individuen (exakt),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
6,1852.Böttger.4(1862).034,33.0,strikt1850_Präsens und Präiteritum + strikt1850_Kein Kleinraum + strikt1850_Krieg (exakt) + strikt1850_positive Bewertung von Krieg (exakt) + strikt1850_Beginn 1850 + strikt1850_Ende 1850 + strikt1850_positive Bewertung von zwei bekannten Individuen (exakt),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
7,1852.Böttger.4(1862).054,28.0,strikt1850_Sprechinstanz nicht markiert + strikt1850_Sprechinstanz Zeit unklar + strikt1850_Präsens und Präiteritum + strikt1850_2 Zeitebenen (exakt) + strikt1850_Kein Kleinraum + strikt1850_Krieg (exakt) + strikt1850_positive Bewertung von Krieg (exakt) + strikt1850_kein Bezug auf Überlieferung + strikt1850_keine Bewertung von Überlieferung + strikt1850_Beginn 1850 + strikt1850_Ende 1850 + strikt1850_positive Bewertung von zwei bekannten Individuen (exakt),1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
8,1852.Böttger.4(1862).057,28.0,strikt1850_Erzählen (exakt) + strikt1850_2 Zeitebenen (exakt) + strikt1850_zeitlich fixierbar + strikt1850_Kein Kleinraum + strikt1850_Handlung (exakt) + strikt1850_Krieg (exakt) + strikt1850_positive Bewertung von Krieg (exakt) + strikt1850_keine Ort-Marker + strikt1850_Beginn 1850 + strikt1850_Ende 1850 + strikt1850_zwei bekannte Individuen (exakt) + strikt1850_positive Bewertung von zwei bekannten Individuen (exakt),1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
9,1852.Böttger.4(1862).065,31.0,strikt1850_2 Zeitebenen (exakt) + strikt1850_Kein Kleinraum + strikt1850_Krieg (exakt) + strikt1850_positive Bewertung von Krieg (exakt) + strikt1850_kein Heroismus + strikt1850_keine Zeit-/Geschichts-Marker + strikt1850_Beginn 1850 + strikt1850_Ende 1850 + strikt1850_positive Bewertung von zwei bekannten Individuen (exakt),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
