,feature,encoding,weight,encoding_orig
0,vectortyp_geschichtslyrik,ordinal,1.0,
1,vectortyp_empirisch,bin,1.0,
2,vectortyp_theoretisch,bin,1.0,
3,vectortyp_sprechinstanz_markiert,bin,1.0,
4,vectortyp_konkretheit,ordinal,1.0,
5,vectortyp_vergangenheitsdominant,ordinal,1.0,
6,vectortyp_zeitebenen,interval,1.0,
7,vectortyp_fixierbarkeit,bin,1.0,
8,vectortyp_anachronismus,bin,1.0,
9,vectortyp_gegenwartsbezug,bin,1.0,
10,vectortyp_nationalismus,bin,1.0,
11,vectortyp_heroismus,bin,1.0,
12,vectortyp_religiositaet,bin,1.0,
13,vectortyp_ueberlieferung,bin,1.0,
14,vectortyp_geschichtsauffassung,bin,1.0,
15,vectortyp_reim,ordinal,1.0,
16,vectortyp_metrum,ordinal,1.0,
17,vectortyp_verfremdung,ordinal,1.0,
18,vectortyp_gattung_Ballade,bin,0.16666666666666666,nominal_multi
19,vectortyp_gattung_Sonett,bin,0.16666666666666666,nominal_multi
20,vectortyp_gattung_Lied,bin,0.16666666666666666,nominal_multi
21,vectortyp_gattung_None,bin,0.16666666666666666,nominal_multi
22,vectortyp_gattung_Rollengedicht,bin,0.16666666666666666,nominal_multi
23,vectortyp_gattung_Denkmal-/Ruinenpoesie,bin,0.16666666666666666,nominal_multi
24,vectortyp_sprechinstanz_in_vergangenheit_gegenwart,bin,0.3333333333333333,nominal
25,vectortyp_sprechinstanz_in_vergangenheit_unmarkiert,bin,0.3333333333333333,nominal
26,vectortyp_sprechinstanz_in_vergangenheit_vergangenheit,bin,0.3333333333333333,nominal
27,vectortyp_sprechakte_Erzählen,bin,0.2,nominal_multi
28,vectortyp_sprechakte_Behaupten,bin,0.2,nominal_multi
29,vectortyp_sprechakte_Beschreiben,bin,0.2,nominal_multi
30,vectortyp_sprechakte_Auffordern,bin,0.2,nominal_multi
31,vectortyp_sprechakte_Fragen,bin,0.2,nominal_multi
32,vectortyp_tempus_Präteritum,bin,0.3333333333333333,nominal_multi
33,vectortyp_tempus_Präsens,bin,0.3333333333333333,nominal_multi
34,vectortyp_tempus_Futur,bin,0.3333333333333333,nominal_multi
35,vectortyp_wissen_ambivalent,bin,0.25,nominal
36,vectortyp_wissen_neutral,bin,0.25,nominal
37,vectortyp_wissen_unwissend,bin,0.25,nominal
38,vectortyp_wissen_wissend,bin,0.25,nominal
39,vectortyp_beginn,interval,1.0,interval
40,vectortyp_ende,interval,1.0,interval
41,vectortyp_grossraum_Europa,bin,0.1111111111111111,nominal_multi
42,vectortyp_grossraum_Welt,bin,0.1111111111111111,nominal_multi
43,vectortyp_grossraum_Afrika,bin,0.1111111111111111,nominal_multi
44,vectortyp_grossraum_Asien,bin,0.1111111111111111,nominal_multi
45,vectortyp_grossraum_Amerika,bin,0.1111111111111111,nominal_multi
46,vectortyp_grossraum_None,bin,0.1111111111111111,nominal_multi
47,vectortyp_grossraum_Atlantik,bin,0.1111111111111111,nominal_multi
48,vectortyp_grossraum_Außerweltliche Räume,bin,0.1111111111111111,nominal_multi
49,vectortyp_grossraum_Ozeane,bin,0.1111111111111111,nominal_multi
50,vectortyp_mittelraum_Ostfränkisches Reich,bin,0.012658227848101266,nominal_multi
51,vectortyp_mittelraum_None,bin,0.012658227848101266,nominal_multi
52,vectortyp_mittelraum_Griechenland,bin,0.012658227848101266,nominal_multi
53,vectortyp_mittelraum_Nordafrika,bin,0.012658227848101266,nominal_multi
54,vectortyp_mittelraum_Heiliges Römisches Reich,bin,0.012658227848101266,nominal_multi
55,vectortyp_mittelraum_Germanien,bin,0.012658227848101266,nominal_multi
56,vectortyp_mittelraum_Ungarn,bin,0.012658227848101266,nominal_multi
57,vectortyp_mittelraum_Niederlande,bin,0.012658227848101266,nominal_multi
58,vectortyp_mittelraum_Deutscher Raum,bin,0.012658227848101266,nominal_multi
59,vectortyp_mittelraum_Frankreich,bin,0.012658227848101266,nominal_multi
60,vectortyp_mittelraum_Kaisertum Österreich,bin,0.012658227848101266,nominal_multi
61,vectortyp_mittelraum_Poströmische Herrschaftsgebiete,bin,0.012658227848101266,nominal_multi
62,vectortyp_mittelraum_Fränkisches Reich,bin,0.012658227848101266,nominal_multi
63,vectortyp_mittelraum_Hunnenreich,bin,0.012658227848101266,nominal_multi
64,vectortyp_mittelraum_Mittelmeer,bin,0.012658227848101266,nominal_multi
65,vectortyp_mittelraum_Weströmisches Reich,bin,0.012658227848101266,nominal_multi
66,vectortyp_mittelraum_Römisches Reich,bin,0.012658227848101266,nominal_multi
67,vectortyp_mittelraum_Ägypten,bin,0.012658227848101266,nominal_multi
68,vectortyp_mittelraum_Italien,bin,0.012658227848101266,nominal_multi
