index,author,author_gnd,author_gnd_available,dnb_gender,dnb_birth,dnb_death,dnb_countries,dnb_occupations,dnb_occupations_count
0,"Blochmann, Johann Christian Ehrenfried Lebrrecht",http://d-nb.info/116202637,True,male,1777.0,1840.0,Deutschland (XA-DE) + Polen (XA-PL),Lyriker + Dramatiker + Pädagoge,3.0
2,"Kosegarten, Ludwig Gotthard",http://d-nb.info/11898618X,True,male,1758.0,1818.0,Deutschland (XA-DE),Theologe + Pfarrer + Hochschullehrer + Schriftsteller + Musiker + Librettist,6.0
3,"Conz, Karl Philipp",https://d-nb.info/gnd/116668237,True,male,1762.0,1827.0,Deutschland (XA-DE),Schriftsteller + Klassischer Philologe + Übersetzer,3.0
4,"Bouterweck, Friedrich",http://d-nb.info/119249111,True,male,1766.0,1828.0,Deutschland (XA-DE),Schriftsteller + Literarhistoriker + Philosoph,3.0
5,"Schiller, Friedrich",http://d-nb.info/118607626,True,male,1759.0,1805.0,Deutschland (XA-DE),Schriftsteller + Dramatiker + Erzähler + Historiker + Hochschullehrer + Librettist,6.0
6,"Schlegel, August Wilhelm",http://d-nb.info/118607960,True,male,1767.0,1845.0,Deutschland (XA-DE),Schriftsteller + Kritiker + Übersetzer + Philologe + Orientalist + Librettist + Hochschullehrer + Literaturwissenschaftler,8.0
8,"Krummacher, Friedrich Adolph",http://d-nb.info/118724789,True,male,1767.0,1845.0,Deutschland (XA-DE),Pfarrer + Schriftsteller + Librettist + Gymnasiallehrer + Hochschullehrer + Superintendent + Generalsuperintendent,7.0
10,"Schubart, Christian Friedrich Daniel",http://d-nb.info/118610953,True,male,1739.0,1791.0,Deutschland (XA-DE),Komponist + Selbstverleger + Schriftsteller + Musiker + Kirchenmusiker + Organist + Lehrer + Publizist + Musikschriftsteller + Theaterdirektor + Journalist,11.0
11,"Herder, Johann Gottfried",http://d-nb.info/118549553,True,male,1744.0,1803.0,Deutschland (XA-DE),Philosoph + Theologe + Schriftsteller + Generalsuperintendent + Schulleiter + Übersetzer,6.0
12,"Schlez, Johann Ferdinand",http://d-nb.info/117643629,True,male,1759.0,1839.0,Deutschland (XA-DE),Pädagoge + Theologe + Kirchenrat + Schriftsteller,4.0
13,"Schreiber, Aloys",(?) http://d-nb.info/100400159,True,male,1763.0,1841.0,Deutschland (XA-DE),Schriftsteller + Reiseschriftsteller + Historiker,3.0
14,Anonym,,False,,,,,,
15,"Jung-Stilling, Johann Heinrich",http://d-nb.info/118558862,True,male,1740.0,1817.0,Deutschland (XA-DE),Schriftsteller + Augenarzt + Volkswirt + Hochschullehrer,4.0
